docname,from,to,pre,keyword,post,pattern
MUS,897,897,environmentally sustainable policy regarding energy production waste management physical infrastructural development addition mainstreaming climate education sustainable development however limited resources many pressing priorities free education,health,care eradication poverty plan poverty alleviation presently preparation notwithstanding working towards mitigating emissions implementing adaptation however proposed adaptation mitigation implemented medium long term necessary support,health
MWI,70,70,undp human development hdr rated one vulnerable countries sub africa deleterious climate furthermore napa showed thematic areas agriculture energy water forestry fisheries gender wildlife human,health,vulnerable climate climate variability extreme climate events major climate related wreak country floods droughts example floods affected districts million people affected killed missing total cost,health
MWI,92,92,gender wildlife human health vulnerable climate climate variability extreme climate events major climate related wreak country floods droughts example floods affected districts million people affected,killed,missing total cost loss damage government incurred severe floods estimated million recovery reconstruction costs stood million vulnerability climate urgent need undertake interventions resilience productive sectors,health
MWI,1517,1517,fertilisers install waste energy incinerators generate gwh electricity adaptation measures priority sectors thematic areas identified based national development priorities agriculture crops livestock fisheries water resources,health,infrastructure land use planning transport population human settlements disaster risk management forestry wildlife energy gender sectors need multi sectoral collaboration implementation various projects programmes also,health
MWI,1667,1667,water resources management iwrm catchment management promotion irrigated agriculture including greenbelt initiative fish farming water supply development domestic livestock use upscaling listed external support human,health,various studies shown climate scenario spread climate sensitive diseases malaria diarrhoea increase food production decline resulting normal rainfall correspondingly led higher incidents issues highlighted napa,health
MWI,1676,1676,including greenbelt initiative fish farming water supply development domestic livestock use upscaling listed external support human health various studies shown climate scenario spread climate sensitive,diseases,malaria diarrhoea increase food production decline resulting normal rainfall correspondingly led higher incidents issues highlighted napa adaptation measures indc aim human resource provide sustainable support,health
MWI,1677,1677,greenbelt initiative fish farming water supply development domestic livestock use upscaling listed external support human health various studies shown climate scenario spread climate sensitive diseases,malaria,diarrhoea increase food production decline resulting normal rainfall correspondingly led higher incidents issues highlighted napa adaptation measures indc aim human resource provide sustainable support vulnerable,health
MWI,1678,1678,initiative fish farming water supply development domestic livestock use upscaling listed external support human health various studies shown climate scenario spread climate sensitive diseases malaria,diarrhoea,increase food production decline resulting normal rainfall correspondingly led higher incidents issues highlighted napa adaptation measures indc aim human resource provide sustainable support vulnerable groups,health
MWI,1705,1705,food production decline resulting normal rainfall correspondingly led higher incidents issues highlighted napa adaptation measures indc aim human resource provide sustainable support vulnerable groups terms,disease,monitoring prevention control wild life droughts pose major threat wildlife terms availability forage water adaptation interventions meant prevent extinction animal species ensuring optimal population sizes,health
MWI,1858,1858,levels support expanded programme constructing multipurpose dams water storage support revision water related policies strategies inc water sw develop climate information early warning systems human,health,build diagnoze prevent control climate sensitive diseases malaria darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases,health
MWI,1865,1865,water storage support revision water related policies strategies inc water sw develop climate information early warning systems human health build diagnoze prevent control climate sensitive,diseases,malaria darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking,health
MWI,1866,1866,storage support revision water related policies strategies inc water sw develop climate information early warning systems human health build diagnoze prevent control climate sensitive diseases,malaria,darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking distance,health
MWI,1868,1868,revision water related policies strategies inc water sw develop climate information early warning systems human health build diagnoze prevent control climate sensitive diseases malaria darrhoeal,diseases,public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking distance km support,health
MWI,1874,1874,water sw develop climate information early warning systems human health build diagnoze prevent control climate sensitive diseases malaria darrhoeal diseases public awareness water sanitation hygience,health,surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking distance km support establishment excellence research disease control targetting,health
MWI,1883,1883,health build diagnoze prevent control climate sensitive diseases malaria darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive,diseases,construct health order improve health within walking distance km support establishment excellence research disease control targetting climate sensitive diseases energy promote use biomass briquettes firewood,health
MWI,1885,1885,diagnoze prevent control climate sensitive diseases malaria darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct,health,order improve health within walking distance km support establishment excellence research disease control targetting climate sensitive diseases energy promote use biomass briquettes firewood promote energy,health
MWI,1888,1888,climate sensitive diseases malaria darrhoeal diseases public awareness water sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve,health,within walking distance km support establishment excellence research disease control targetting climate sensitive diseases energy promote use biomass briquettes firewood promote energy mix moves people,health
MWI,1897,1897,sanitation hygience health surveillance support expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking distance km support establishment excellence research,disease,control targetting climate sensitive diseases energy promote use biomass briquettes firewood promote energy mix moves people away use biomass support expanded programme briquette production use,health
MWI,1902,1902,expanded programme preventing controlling climate sensitive diseases construct health order improve health within walking distance km support establishment excellence research disease control targetting climate sensitive,diseases,energy promote use biomass briquettes firewood promote energy mix moves people away use biomass support expanded programme briquette production use construct storage dams hydrpower generation,health
MWI,1977,1977,species expand afforestation forest regeneration programmes promote growing drought tolerant fast frowing tree species wildlife provide watering points strategic locations national park game reserve implement,diseases,control programmes support building wildlife lead adaptation initiatives translocation culling fisheries building cage culture fish farming adopt eco system services management fisheries resources promote cage,health
MYS,936,936,developed implemented specific areas addition national coastal vulnerability index sea level rise developed detailed sea level rise studies also conducted vulnerable coastal areas project vulnerabilities,health,tenth plan spent rm billion health sector rm billion adaptation health sector climate particular vector borne diseases dengue malaria expected rising high rainfall dengue urban,health
MYS,942,942,coastal vulnerability index sea level rise developed detailed sea level rise studies also conducted vulnerable coastal areas project vulnerabilities health tenth plan spent rm billion,health,sector rm billion adaptation health sector climate particular vector borne diseases dengue malaria expected rising high rainfall dengue urban constant public health affecting wide population,health
MYS,947,947,rise developed detailed sea level rise studies also conducted vulnerable coastal areas project vulnerabilities health tenth plan spent rm billion health sector rm billion adaptation,health,sector climate particular vector borne diseases dengue malaria expected rising high rainfall dengue urban constant public health affecting wide population age groups expected worsen climate,health
MYS,953,953,studies also conducted vulnerable coastal areas project vulnerabilities health tenth plan spent rm billion health sector rm billion adaptation health sector climate particular vector borne,diseases,dengue malaria expected rising high rainfall dengue urban constant public health affecting wide population age groups expected worsen climate control prevention dengue transmission using early,health
MYS,954,954,also conducted vulnerable coastal areas project vulnerabilities health tenth plan spent rm billion health sector rm billion adaptation health sector climate particular vector borne diseases,dengue,malaria expected rising high rainfall dengue urban constant public health affecting wide population age groups expected worsen climate control prevention dengue transmission using early test,health
MYS,955,955,conducted vulnerable coastal areas project vulnerabilities health tenth plan spent rm billion health sector rm billion adaptation health sector climate particular vector borne diseases dengue,malaria,expected rising high rainfall dengue urban constant public health affecting wide population age groups expected worsen climate control prevention dengue transmission using early test kits,health
MYS,960,960,vulnerabilities health tenth plan spent rm billion health sector rm billion adaptation health sector climate particular vector borne diseases dengue malaria expected rising high rainfall,dengue,urban constant public health affecting wide population age groups expected worsen climate control prevention dengue transmission using early test kits community intervention well exploratory research,health
MYS,964,964,spent rm billion health sector rm billion adaptation health sector climate particular vector borne diseases dengue malaria expected rising high rainfall dengue urban constant public,health,affecting wide population age groups expected worsen climate control prevention dengue transmission using early test kits community intervention well exploratory research alternative medicines among efforts,health
MYS,975,975,particular vector borne diseases dengue malaria expected rising high rainfall dengue urban constant public health affecting wide population age groups expected worsen climate control prevention,dengue,transmission using early test kits community intervention well exploratory research alternative medicines among efforts undertaken addition climate related disasters already posing huge public disaster management,health
MYS,1023,1023,public disaster management systems ensuring clean water supply optimal sewerage services particularly difficult disasters flooding end massive flooding affected several giving rise food water borne,diseases,,health
NAM,564,564,despite country already low emissions compared developed countries aspires continue development improving welfare population reducing poverty index increase food security eliminate societal guarantee safe water,health,empower educate citizens global emissions capita emissions decreased gdp production increased unit emission considering therefore considers indc fair ambitious given development status national circumstances subject,health
NAM,1481,1481,waste wastewater planned convert municipal solid waste sludge wastewater management systems main cities energy measure lead reduction additional benefits cleaner environment better sanitation fewer risks,health,problems reaped treated water used irrigation alleviate problems linked water scarcity emission reduction waste sector bau mitigation potential potential different measures waste sector listed ghg,health
NAM,1734,1734,despite country already low emissions compared developed countries aspires continue development improving welfare population reducing poverty index increase food security eliminate societal guarantee safe water,health,empower educate citizens provided give status country within global context global emissions country net sink decreased net capita removals decreased capita emissions decreased gdp production,health
NAM,2104,2104,destructive first order climate risks evident long lasting floods droughts turn heavily directly population indirectly human resources agriculture livestock water coastal zone natural ecosystems biodiversity,health,amongst others estimated result annual decrease gdp resulting decline gdp seriously hinder progress also preventing empowerment poorest segments population vulnerable climate observed date lower crop,health
NAM,2152,2152,date lower crop yields risk crop failure reduced livestock production decline fish stocks catch production reduced water availability lower water quality economic development food security,health,sanitation increased occurrence water vector borne diseases increased pressure cities following urbanization increased damage infrastructure risk extinction endemic species loss biodiversity loss ecosystem services medicinal,health
NAM,2159,2159,reduced livestock production decline fish stocks catch production reduced water availability lower water quality economic development food security health sanitation increased occurrence water vector borne,diseases,increased pressure cities following urbanization increased damage infrastructure risk extinction endemic species loss biodiversity loss ecosystem services medicinal plants biomass energy loss soil fertility increased,health
NAM,2447,2447,forests community forest management rationalization use water resources different economic sectors improved rural water supply recycling wastewater potable water artificial aquifers banking water surveillance prevention,diseases,protection shoreline dredging port walvis bay surveillance lagoon protecting port walvis bay gaps barriers needs recurrent gaps country human depth vulnerability studies restricted latest technologies,health
NER,1032,1032,modern energy services everyone concerning latter point adopted regional white book economic community west ecowas recognizes modern energy services makes major improved basic social services,health,education potable water increased productivity households cooking lighting transportation giving impetus creation income producing economic freeing women chores gathering wood water shelling peas beans preserving,health
NER,1887,1887,million dpcs national priorities adaptation climate national priorities afolu sector relate improving resilience agriculture animal husbandry forestry sub sectors priorities concern water resources fishing fauna,health,building levels adapting climate country order adaptation techniques appropriate relate particular sustainable land management renewable energy energy efficiency relevance conclusions chosen document indc initiatives supporting,health
NER,2260,2260,indc presented table annex cost implementing first ten estimated co benefits energy sector relate improvement living conditions result increased income social welfare potable water education,health,well new information communication technologies nict energy development local alleviation domestic reduction rural exodus job creation climate smart agriculture techniques climate smart agriculture csa consistent,health
NER,2319,2319,development climate smart agriculture takes weather information early warning management risks disasters index based agricultural weather insurance inclusion climate local pdc programme regional national planning,health,animal husbandry sectors tested approved good therefore taken consideration indc advantages brought measures climate smart agriculture involved responses climate one people government thus set adaptation,health
NER,2708,2708,needs relate essentially upscaling good climate smart agriculture renewable energy technologies energy efficiency areas integrated water resources management iwrm urban waste management fauna fishing social,health,protection etc building building relates design bankable projects understanding donors rules procedures evaluation adaptation projects terms economic financial analysis establishment measurement notification verification system mnv,health
NGA,1151,1151,people particularly women children resource poor men adverse climate also capturing opportunities arise result climate goal take adapt climate reducing vulnerability climate increasing resilience sustainable,wellbeing,reduce minimize risks improving adaptive leveraging new opportunities collaboration inside global community end set thirteen sector specific strategies policies programmes measures prepared included full annex,health
NGA,1773,1773,meteorological organization global framework climate services wmo gfcs needs national framework application climate services reduce vulnerability communities implementation five pillars framework national forest policy national,health,policy government sustained coordinated implementation policies measures whole range sectors indc instrumental making progress regard mitigation summary businessasusualemissionsprojections economy population growing rapidly population attaining higher,health
NGA,1886,1886,assessments individual sectors well review policies measures already measures included indc expected deliver development benefits mitigation bring largest development benefit reducing air indoors enormous immediate,health,social benefits secondly innovation òcleanó technologies brings resource efficiency produces knowledge jobs òdirtyó technologies thirdly fiscal reform proving efficient mitigation releases resources budget fund investments,health
NGA,2077,2077,indc prioritizes quantifiable cost effective criteria potential mitigation assessed cost effectiveness mitigation potential poverty alleviation job creation feasibility implementation short term results gender social inclusion,health,air quality land degradation water quality incl deforestation mitigation included indc large extent implement enforce existing policies strategies however additional legislation regulatory assessment regulatory legislative,health
NGA,2804,2804,provision energy poor communities development potential two thirds unleashed present poor pay òpoverty penaltyó order meet energy needs pay proportionately energy spend time fuels suffer,health,poor fuel quality brake development empowerment women particular importantly reduced dependence fossil resources also increase security benefit rural electrification grid using renewable many small find,health
NGA,2966,2966,investments rail transport initiated many mitigation options summarized òmodal shiftó moving passengers freight one form mode transport another less one air major urban areas severe,health,benefits measures immediate example high speed rail hsr available shift air travel hsr begin investments made revive rail transport also potential carry fast growing cargo,health
NGA,3220,3220,well functioning financial markets essential consideration also given form industrial development òsoftó loans repayable used short lived air quality poor air quality bane urban residents,health,threat drastic measures reduce soot carbon cars trucks small generators industry needed failure make mega cities unliveable includes enforcement importation ban cars old stricter inspections,health
NGA,3398,3398,housing standards transit system building lessons learned introduction brt needs maintenance investment highway expansion may financed tolls waste management systems strained improvements area immediate benefits,health,quality xi gender social inclusion degree people affected climate influenced social status gender wealth political power control resources women also remote communities still less economic,health
NGA,3463,3463,measures empower groups socio economically disadvantaged differentiated manner example poverty penalty paid households search potable water fuel wood women benefit clean efficient cook stoves gaining,health,productive time introduced however difficulty financial similarly agricultural extension services proven men women new policies measures need assessed ability bring social inclusion culturally appropriate well,health
NGA,4297,4297,affect biodiversity conservation including agriculture forestry energy livelihoods support implement programmes alternative livelihoods order reduce unsustainable resource use loss biodiversity see sector theme livelihoods strategies,health,sanitation undertake research better understand health climate strengthen disease prevention treatment diseases expected increase result climate reinforce programmes build maintain wastewater solid waste management promote,health
NGA,4303,4303,energy livelihoods support implement programmes alternative livelihoods order reduce unsustainable resource use loss biodiversity see sector theme livelihoods strategies health sanitation undertake research better understand,health,climate strengthen disease prevention treatment diseases expected increase result climate reinforce programmes build maintain wastewater solid waste management promote adoption technologies reduce exposure health extreme,health
NGA,4306,4306,implement programmes alternative livelihoods order reduce unsustainable resource use loss biodiversity see sector theme livelihoods strategies health sanitation undertake research better understand health climate strengthen,disease,prevention treatment diseases expected increase result climate reinforce programmes build maintain wastewater solid waste management promote adoption technologies reduce exposure health extreme heat establish early,health
NGA,4309,4309,livelihoods order reduce unsustainable resource use loss biodiversity see sector theme livelihoods strategies health sanitation undertake research better understand health climate strengthen disease prevention treatment,diseases,expected increase result climate reinforce programmes build maintain wastewater solid waste management promote adoption technologies reduce exposure health extreme heat establish early warning health surveillance,health
NGA,4327,4327,understand health climate strengthen disease prevention treatment diseases expected increase result climate reinforce programmes build maintain wastewater solid waste management promote adoption technologies reduce exposure,health,extreme heat establish early warning health surveillance programmes strategies human settlements housing develop climate adaptation plans urban areas particularly greatest risk assist communities reduce vulnerability,health
NGA,4333,4333,treatment diseases expected increase result climate reinforce programmes build maintain wastewater solid waste management promote adoption technologies reduce exposure health extreme heat establish early warning,health,surveillance programmes strategies human settlements housing develop climate adaptation plans urban areas particularly greatest risk assist communities reduce vulnerability participatory planning land use housing discourage,health
NGA,4691,4691,adapt government programmes including emergency response plans programmes directed vulnerable groups better address climate groups adapt public service including school buildings withstand storms excess heat,immunization,children provide protection diseases expected become prevalent climate retrain health workers appreciate emerging climate within context immunization delivery comprehensive healthcare delivery encourage faith based civil,health
NGA,4695,4695,emergency response plans programmes directed vulnerable groups better address climate groups adapt public service including school buildings withstand storms excess heat immunization children provide protection,diseases,expected become prevalent climate retrain health workers appreciate emerging climate within context immunization delivery comprehensive healthcare delivery encourage faith based civil society organizations provide social,health
NGA,4701,4701,groups better address climate groups adapt public service including school buildings withstand storms excess heat immunization children provide protection diseases expected become prevalent climate retrain,health,workers appreciate emerging climate within context immunization delivery comprehensive healthcare delivery encourage faith based civil society organizations provide social welfare programmes support address climate induced,health
NGA,4708,4708,service including school buildings withstand storms excess heat immunization children provide protection diseases expected become prevalent climate retrain health workers appreciate emerging climate within context,immunization,delivery comprehensive healthcare delivery encourage faith based civil society organizations provide social welfare programmes support address climate induced needs vulnerable groups adapt national world meteorological,health
NGA,4711,4711,buildings withstand storms excess heat immunization children provide protection diseases expected become prevalent climate retrain health workers appreciate emerging climate within context immunization delivery comprehensive,healthcare,delivery encourage faith based civil society organizations provide social welfare programmes support address climate induced needs vulnerable groups adapt national world meteorological organization global framework,health
NIC,1955,1955,renewable energy sources solar geothermal gas natural wind power well measures conservation forest recovery university denver colorado usa generate forecasts models mathematicians extrapolate trends population,health,education human social needs energy environment found web cepal urban development mobility latin america available national contemplates goals based established normative policy instruments domestic foreign,health
NIC,3031,3031,prioritized prepare implement national plan adaptation climate sector level implement national water resources plan promote adaptation measures focused human settlements development knowledge response climate human,health,people end line,health
NIU,220,220,elevated coral atolls average height sea level metres highest point less vulnerable climate risks tropical cyclones tcs droughts geological risks earthquakes tsunami human caused risks,disease,contamination fresh water supply risk profile also inherently linked isolation limited manage respond disasters climate traditional coping strategies tended make way increased reliance external support,health
NIU,977,977,departments incorporated climate policies corporate plans example agriculture sector plan priority sectors integration climate considerations policies plans include water resource management food security climate adaptation,health,plan developed health department donor partners waste sanitation management strategy general liquid organic wastes building code review update including development national standards donor funding support,health
NIU,980,980,policies corporate plans example agriculture sector plan priority sectors integration climate considerations policies plans include water resource management food security climate adaptation health plan developed,health,department donor partners waste sanitation management strategy general liquid organic wastes building code review update including development national standards donor funding support development relevant sector,health
NPL,245,245,drought districts glofs districts flooding ranked eleventh earthquake prone country world devastating earthquake magnitude april around casualties injuries destruction widespread ruined houses heritage sites schools,health,posts infrastructures roads bridges hydro electricity plants social systems water supply agricultural land trekking sports lives million people severely earthquake demanding unbelievably high cost reconstruction,health
NRU,231,231,renewable resources rather relying traditional imported dirty liquid fuels pressing adaptation strategy improve indigenous food supply potable water availability storage addition concurrent need environment improve,health,population issue loss damage important particularly considering current low level mitigation ambition internationally science telling limits adaptation survival loss damage must considered separate distinct element,health
NRU,456,456,removed large proportion original forest arable land scarcity arable land fresh water resources isolation dependence imports meeting basic food energy needs environmental degradation emergence chronic,health,problems make sustainable development difficult task time also create vulnerability stresses brought climate however now running government commenced secondary mining spent spoils earlier island low,health
NRU,709,709,food water security erode coastlines damage marine ecosystems impede progress already made climate also add extra burden national budget diverting resources away important sectors education,health,economic development therefore addressing climate context sustainable development means co benefits nsds also building resilience climate vulnerability case combination different including climate nsds nauruõs main,health
NRU,774,774,including posed climate national community scale create vulnerability scarce water resources limited land soil resources environmental degradation high income dependence imports isolation low human chronic,health,problems aid dependency risk climate disaster priorities expected emerge time increases respond vulnerability risk respond taken steps establish ronadapt part national efforts prepare ronadapt represents,health
NRU,885,885,healthy people productive secure land resources high priorities given towards multiple development resilience objectives simultaneously often cross sectors priority arranged sectors targeting following areas water,health,agriculture energy land management infrastructure coastal protection biodiversity environment community development social inclusion education human development however highlighted earlier generally goals multiple sectors time overall,health
NRU,1897,1897,global warming nauruõs case threat existence also serious economic thriving industry ceased thus depriving major lifeline revenue source local infrastructure including power generation drinking water,health,services adversely affected decline income mining fewer prospects industry look alternative revenue sources support economic development unfortunately country size limited natural resources options many global,health
OMN,280,280,low carbon technologies among industries eecovery solid waste dumping sites carbon sinks adaptation tropical storms high wind speeds energy sector coastal erosion flooding water sector,health,sector fisheries marine environment agriculture sector,health
PAK,240,240,expenditures budget last days come climate related expenditure expected increase primarily due likely increase intensity climate induced disasters needless say adverse climate budget spent education,health,poverty alleviation people indc intended nationally determined rooted strategic plan vision aligned respective policies plans sectoral growth targets set various ministries government entities similarly potential,health
PAK,1529,1529,billion annum last five flood events alone resulted monetary losses billion million people affected million houses damaged million crops destroyed similarly unprecedented heat wave resulted,deaths,people climate models climate vulnerability index ccvi monsoons increasingly becoming erratic spatial temporal nature similarly drought events expected increase winter affecting yield cash ccvi indicates,health
PAN,2708,2708,participation population objective agreement benefit country unilateral sector nationally determined mitigation sector increase absorption reforestation restoration protected areas respect trend base scenario see unilateral sector,ncd,source miambiente description measures sector government assumed commitment implement alliance million reforested hectares purpose part nationally determined plans increase carbon storage reforestation restoration protected areas,health
PER,129,129,drought rain floods frost etc gone trough rapid economic growth along past ten helped dramatically reduce poverty figures growth led progress social inclusion provision basic,health,education infrastructure among services complying countryõs international commitments domestic necessary conditions imposed climate thus implementing innovative projects based domestic resources international several regions sectors order,health
PER,671,671,incorporated representation presidency ministers council following ministries economy finance energy mines agriculture irrigation transport communications production construction housing sanitation foreign affairs education justice human rights,health,culture development social inclusion environment last one held presidency mc assumed role technical secretariat formulation review progress preliminary results indc public consultation process held national,health
PER,1481,1481,consultations relevant sectors regions civil society addition taken sectors systems meet defined prioritization criteria sectors systems water water resources ii agriculture iii fishery iv forestry,health,determined sectors systems vulnerable climate focusing people livelihoods vulnerable populations need addressed priority basis determined rural populations related subsistence family farming weak market linkages many,health
PER,1520,1520,basis determined rural populations related subsistence family farming weak market linkages many grouped peasant indigenous communities small farmers artisanal fishermen native communities small forest producers,health,infants women seniors indc proposal adaptation review vulnerabilities adaptation priorities country based study national goals established current national planning documents plan national plan disaster risk,health
PER,1649,1649,begins last quarter risk adaptation climate management plan agrarian sector ministry agriculture irrigation objective corresponding vision national strategy climate ministry environment documents effects climate public,health,among others adaptation component formulated different sectors prioritized systems budget programs integral plan mitigation adaptation table summary indc adaptation water fishery forestry intermediate objectives includes,health
PER,1765,1765,livestock forestry reduce vulnerability fishery sector climate promote comprehensive land management oriented increase forests resilience cc reduce vulnerability local populations reduce vulnerability increase population resilience,health,effects climate disaster risk management increase number prioritized districts due hydro meteorological climate events monitored increase number people education knowledge disaster risk management adaptation climate,health
PER,1847,1847,populations adjustments design programs regulatory frameworks adaptation criteria increase number programs instruments poverty incorporate adaptation climate goals conditioned international funding measures applied kinds agriculture national,health,system officially recognizes five functions disease prevention health promotion health protection health restoration goals consistent budget program gender intercultural formulation approval plan gender climate encourage,health
PER,1853,1853,adaptation criteria increase number programs instruments poverty incorporate adaptation climate goals conditioned international funding measures applied kinds agriculture national health system officially recognizes five functions,disease,prevention health promotion health protection health restoration goals consistent budget program gender intercultural formulation approval plan gender climate encourage participation indigenous organizations climate promotion private,health
PER,1855,1855,increase number programs instruments poverty incorporate adaptation climate goals conditioned international funding measures applied kinds agriculture national health system officially recognizes five functions disease prevention,health,promotion health protection health restoration goals consistent budget program gender intercultural formulation approval plan gender climate encourage participation indigenous organizations climate promotion private investment adaptation,health
PER,1857,1857,programs instruments poverty incorporate adaptation climate goals conditioned international funding measures applied kinds agriculture national health system officially recognizes five functions disease prevention health promotion,health,protection health restoration goals consistent budget program gender intercultural formulation approval plan gender climate encourage participation indigenous organizations climate promotion private investment adaptation evaluate introduction,health
PER,1859,1859,poverty incorporate adaptation climate goals conditioned international funding measures applied kinds agriculture national health system officially recognizes five functions disease prevention health promotion health protection,health,restoration goals consistent budget program gender intercultural formulation approval plan gender climate encourage participation indigenous organizations climate promotion private investment adaptation evaluate introduction innovative encourage,health
PER,1894,1894,plan gender climate encourage participation indigenous organizations climate promotion private investment adaptation evaluate introduction innovative encourage private investment increase resilience vulnerable systems considers increasing adaptive,health,services order cc resilience vulnerable populations effects areas goals scope resources development communication indc adaptation making substantial effort adapt combined effects variability climate proof large,health
PNG,214,214,developmental problems resolved pngõs national circumstances png eastern part worldõs second largest island land mass tropical west one undeveloped regions world low capita incomes serious,health,social problems large proportion million plus population live lifestyle remained little millennia extremely low use fossil fuels ghg emissions last decade two situation png considerable,health
PNG,1569,1569,emissions world addition still multiple development countryõs million people employed sector live almost entirely sustainable fossil fuel free existence domestic international surveys reveal widespread poor,health,vulnerability natural many become salient climate terms png expected mitigate resources need considerable international assistance adaptation considerable attention terms mitigation keep world average increase degrees,health
PNG,1647,1647,coastal flooding inland flooding droughts take severe toll people economy climate predicted event driven may also introduce new due gradual shifts climatic conditions prominently increased,malaria,penetration agricultural yields damaged coral reefs country natural disasters driven climatic conditions excluding seismic well gradual shifts climatic conditions disrupt daily life cause damage assets,health
PNG,1734,1734,prevalent coastal flooding sea level rise inland flooding food insecurity caused crop failures due droughts inland frosts cities climate climate induced migration damage coral reefs,malaria,vector borne diseases water sanitation management prioritised prioritising one key strategies given national climate development management policy adaptation strategies risk summary needs adaptation summary png,health
PNG,1737,1737,sea level rise inland flooding food insecurity caused crop failures due droughts inland frosts cities climate climate induced migration damage coral reefs malaria vector borne,diseases,water sanitation management prioritised prioritising one key strategies given national climate development management policy adaptation strategies risk summary needs adaptation summary png highly vulnerable effects,health
PRK,1575,1575,training etc improvement living sustainable development country research development introduction advanced adaptation technologies methods fifthly establish system efficient water resources management scientific agricultural production advanced,medical,care corresponding negative climate sixthly encourage work effectively cope negative climate draw social speed bilateral multi lateral international organizations countries measures following table prioritized among,health
PRK,1753,1753,coastal flooding retreat coastline salt water intrusion increase damages flood building integrated management coastal zone construction infrastructures seawalls protective coastal zone rearrangement population economic public,health,increase incidence infectious diseases strengthening hygienic anti epidemic work strengthening medical services related diseases caused hot weather establishment database various infectious diseases sustainable monitoring system,health
PRK,1757,1757,salt water intrusion increase damages flood building integrated management coastal zone construction infrastructures seawalls protective coastal zone rearrangement population economic public health increase incidence infectious,diseases,strengthening hygienic anti epidemic work strengthening medical services related diseases caused hot weather establishment database various infectious diseases sustainable monitoring system diseases intended nationally determined,health
PRK,1761,1761,damages flood building integrated management coastal zone construction infrastructures seawalls protective coastal zone rearrangement population economic public health increase incidence infectious diseases strengthening hygienic anti,epidemic,work strengthening medical services related diseases caused hot weather establishment database various infectious diseases sustainable monitoring system diseases intended nationally determined democratic sector climate prioritized,health
PRK,1764,1764,integrated management coastal zone construction infrastructures seawalls protective coastal zone rearrangement population economic public health increase incidence infectious diseases strengthening hygienic anti epidemic work strengthening,medical,services related diseases caused hot weather establishment database various infectious diseases sustainable monitoring system diseases intended nationally determined democratic sector climate prioritized adaptaiton measures ecosystems,health
PRK,1767,1767,zone construction infrastructures seawalls protective coastal zone rearrangement population economic public health increase incidence infectious diseases strengthening hygienic anti epidemic work strengthening medical services related,diseases,caused hot weather establishment database various infectious diseases sustainable monitoring system diseases intended nationally determined democratic sector climate prioritized adaptaiton measures ecosystems shift structure biological,health
